DATE,GEOCODE,VARIABLE,COUNT,RATE
7/5/25,101,COVID-19,26,26.64
7/5/25,102,COVID-19,61,28.95
7/5/25,103,COVID-19,34,13.45
7/5/25,104,COVID-19,55,18.49
7/5/25,105106107,COVID-19,255,141.62
7/5/25,201,COVID-19,14,9.15
7/5/25,202,COVID-19,45,17.03
7/5/25,203,COVID-19,39,10.57
7/5/25,204,COVID-19,16,8.09
7/5/25,205,COVID-19,11,9.42
7/5/25,206,COVID-19,55,15.99
7/5/25,207,COVID-19,25,8.05
7/5/25,208,COVID-19,22,11.24
7/5/25,209,COVID-19,30,13.77
7/5/25,210,COVID-19,49,16.4
7/5/25,211,COVID-19,15,6.26
7/5/25,301,COVID-19,37,13.91
7/5/25,302,COVID-19,27,13.36
7/5/25,303,COVID-19,23,18.62
7/5/25,304,COVID-19,33,12.39
7/5/25,305307,COVID-19,138,76.76
7/5/25,306308,COVID-19,78,57.57
7/5/25,309310,COVID-19,88,86.31
7/5/25,401,COVID-19,47,20.41
7/5/25,402,COVID-19,76,16.18
7/5/25,403,COVID-19,46,17.27
7/5/25,404406,COVID-19,50,45.47
7/5/25,405,COVID-19,46,15.68
7/5/25,407,COVID-19,40,13.95
7/5/25,408,COVID-19,50,15.2
7/5/25,409,COVID-19,30,14.36
7/5/25,410,COVID-19,14,11.64
7/5/25,501502,COVID-19,44,46.53
7/5/25,503504,COVID-19,82,63.58
7/5/25,101,Influenza,5,5.49
7/5/25,102,Influenza,6,2.91
7/5/25,103,Influenza,,
7/5/25,104,Influenza,13,4.52
7/5/25,105106107,Influenza,27,14.75
7/5/25,201,Influenza,7,4.57
7/5/25,202,Influenza,,
7/5/25,203,Influenza,8,2.38
7/5/25,204,Influenza,5,2.49
7/5/25,205,Influenza,,
7/5/25,206,Influenza,,
7/5/25,207,Influenza,6,1.91
7/5/25,208,Influenza,,
7/5/25,209,Influenza,,
7/5/25,210,Influenza,5,1.39
7/5/25,211,Influenza,,
7/5/25,301,Influenza,,
7/5/25,302,Influenza,,
7/5/25,303,Influenza,,
7/5/25,304,Influenza,,
7/5/25,305307,Influenza,18,8.56
7/5/25,306308,Influenza,20,32.36
7/5/25,309310,Influenza,8,8.05
7/5/25,401,Influenza,,
7/5/25,402,Influenza,12,2.63
7/5/25,403,Influenza,7,2.84
7/5/25,404406,Influenza,,
7/5/25,405,Influenza,10,4.17
7/5/25,407,Influenza,8,3.43
7/5/25,408,Influenza,,
7/5/25,409,Influenza,7,3.01
7/5/25,410,Influenza,,
7/5/25,501502,Influenza,,
7/5/25,503504,Influenza,10,8.43
7/5/25,101,RSV,,
7/5/25,102,RSV,,
7/5/25,103,RSV,,
7/5/25,104,RSV,,
7/5/25,105106107,RSV,,
7/5/25,201,RSV,21,13.23
7/5/25,202,RSV,8,3.44
7/5/25,203,RSV,,
7/5/25,204,RSV,,
7/5/25,205,RSV,,
7/5/25,206,RSV,18,4.48
7/5/25,207,RSV,,
7/5/25,208,RSV,,
7/5/25,209,RSV,,
7/5/25,210,RSV,,
7/5/25,211,RSV,5,2.35
7/5/25,301,RSV,,
7/5/25,302,RSV,,
7/5/25,303,RSV,,
7/5/25,304,RSV,,
7/5/25,305307,RSV,6,6.74
7/5/25,306308,RSV,,
7/5/25,309310,RSV,,
7/5/25,401,RSV,,
7/5/25,402,RSV,,
7/5/25,403,RSV,,
7/5/25,404406,RSV,,
7/5/25,405,RSV,,
7/5/25,407,RSV,,
7/5/25,408,RSV,,
7/5/25,409,RSV,,
7/5/25,410,RSV,,
7/5/25,501502,RSV,,
7/5/25,503504,RSV,6,4.89